Name,ORE_sdE3_r1_GTGGCC_L004,ORE_sdE3_r2_TGACCA_L005,ORE_w_r1_ATCACG_L001,ORE_w_r2_GTTTCG_L002,OREf_SAMm_sdE3_ATTCCT_L002,OREf_SAMm_w_GTCCGC_L006,SAM_sdE3_r1_ATGTCA_L006,SAM_sdE3_r2_GCCAAT_L007,SAM_w_r1_ACTTGA_L003,SAM_w_r2_GAGTGG_L004,SAMf_OREm_sdE3_TAGCTT_L001,SAMf_OREm_w_CAGATC_L005
FBtr0081101,0.0,0.0,0.0,0.120314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0081102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158324,0.0,0.0,0.0
FBtr0299685,0.0716542,0.0,0.0427126,0.0,0.0356073,0.133797,0.494742,0.327493,0.518946,0.217241,0.113851,0.14455
FBtr0345443,0.0,0.0,0.0,0.0347941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417408
FBtr0300818,0.0,0.0,0.0,0.0188991,0.0,0.0,0.0,0.0,0.0,0.0244033,0.0,0.0
FBtr0081104,16.838,23.0486,20.9469,21.1507,25.6019,23.2297,29.3214,24.0846,30.7259,22.0021,19.0174,24.2568
FBtr0343833,1.4098,1.73679,0.434717,1.34404,0.850534,1.29337,1.09505,0.656113,1.64887,0.834129,0.662596,0.771391
FBtr0308574,5.66596,2.18324,2.05227,1.40401,3.18973,0.887163,2.22085,2.90541,5.56134e-10,4.10611,2.72526,4.71585
FBtr0308575,1.42864,1.16132,1.19601,0.728893,0.748233,0.401542,0.872249,0.831151,1.16553,1.69256,1.74868,0.587393
FBtr0081107,0.177929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0081108,5.42245e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0460735,0.0
FBtr0081105,0.0,0.0,0.0662312,0.0521286,0.111157,0.137202,0.260542,0.129013,0.0,0.291203,0.125422,0.116174
FBtr0081106,7.23076e-06,0.0764392,0.0,0.0,0.0,0.0,0.0,0.0,0.139864,0.0,0.00551295,0.0
FBtr0081109,55.1332,60.9346,69.3099,57.8928,59.1288,55.3503,49.2417,42.5435,50.768,42.9234,38.2924,54.9088
FBtr0081110,0.0481839,0.01391,0.0189248,0.0298639,0.0476588,0.0,0.0894204,0.0157823,0.0212131,0.0,0.0153848,0.0
FBtr0342919,0.0,0.0,0.0,0.0,0.0,0.0598178,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0081111,4.2916,1.90915,0.893427,0.29913,1.05866,2.37313,2.4632,6.0694e-06,4.32812,2.15224,3.19147,2.22535
FBtr0081112,7.23679,6.18241,6.36127,6.65258,7.32683,5.11337,7.19698,5.01571,6.1828,4.80781,4.36927,4.2862
FBtr0342921,0.0,1.79666,2.657,2.78137,3.40125,2.64434,2.53155,4.66221,0.226443,1.45807,0.0,0.938287
FBtr0081118,0.0710566,0.0983652,0.11717,0.119067,0.042163,0.0519734,0.118713,0.0,0.112527,0.0679168,0.0135694,0.0293768
FBtr0331193,0.0443223,0.0,0.026145,0.0,0.0219305,0.0,0.0205451,0.0,0.11739,0.026533,0.0,0.0
FBtr0331194,1.80335,1.01501e-09,0.434141,0.404063,2.39596e-08,0.981513,0.451596,0.567109,0.61322,0.494209,6.23607e-05,0.897346
FBtr0081120,14.4791,12.2063,18.7987,16.0318,16.7682,14.0647,17.971,12.5297,17.7871,13.1434,9.31904,12.1549
FBtr0273228,0.289142,0.592243,0.331978,0.481847,0.291992,0.334855,0.370379,0.338651,0.618061,0.447177,0.0,0.305584
FBtr0081121,25.6952,24.9702,27.003,22.1341,27.4451,26.5395,23.76,17.4024,18.2648,15.5664,17.8929,22.5605
FBtr0344795,2.73701,1.42376,2.03112,1.28967,1.28105,2.27243,0.670266,0.771443,1.323,1.11514,0.942011,1.56206
FBtr0081122,2.65887,4.0007,2.70862,3.48878,3.36921,3.01646,3.76176,3.55853,4.10084,3.86126,5.93593,6.67346
FBtr0345442,0.0,0.0,0.0,0.0204138,0.0107199,0.039483,0.0,0.0105631,0.0284744,0.0,0.0,0.0
FBtr0343834,1.20443,2.07042,0.837017,1.53776,0.758305,0.731655,0.968847,0.747382,0.359169,1.10971,0.921064,1.01793
FBtr0305620,0.0843987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104884,0.0
FBtr0305621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0332015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0332016,0.0239952,0.153106,0.0781329,0.0839567,0.0922327,0.239862,0.0981686,0.113355,0.207674,0.246954,0.00718253,0.132354
FBtr0332017,0.0,0.0,0.0378274,0.0908856,0.0636345,0.0,0.0299581,0.0313486,0.0,0.0,0.0,0.0
FBtr0343112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0301647,0.0123437,0.0,0.0290666,0.0,0.0122055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0081125,0.322204,0.195831,0.111546,0.226853,0.50517,0.206997,0.735757,0.520573,0.572772,0.653398,0.32838,0.50603
FBtr0343113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0584247,0.0,0.0,0.0
FBtr0343114,6.47307e-05,7.04677e-05,1.55843e-05,0.0,0.00010646,1.39095e-05,5.61672e-05,1.16639e-07,0.00013797,4.97952e-05,4.10844e-05,4.67874e-05
FBtr0081126,16.4495,17.4043,23.4954,21.4025,17.8005,20.5506,20.6365,18.7383,13.11,15.5408,8.14311,18.2284
FBtr0343115,15.7731,13.8888,12.6105,13.2869,15.5759,11.625,18.1813,11.0166,20.6819,14.8736,17.6417,16.2863
FBtr0343116,180.503,149.416,157.406,150.958,151.279,140.207,170.284,128.941,181.438,138.159,147.456,161.325
